ensembl_gene_id	chromosome_name	start_position	end_position	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	entrez_gene_id
ENSG00000119630	14	75408537	75422487	84.0224743163751	-3.50182126018484	0.448135151295108	5.53097187661863e-15	6.73048717660959e-13	PGF	5228
ENSG00000158270	18	319361	500722	2048.36711554784	-3.50065513914428	0.426619784568207	2.2951450220472e-16	3.46262440315999e-14	COLEC12	81035
ENSG00000231007	9	89626567	89628066	138.733674976137	-3.39357250300305	0.321665327050185	5.07915442533292e-26	2.58949304063956e-23	NA	NA
ENSG00000135451	12	49717019	49725514	139.298577849539	-3.31724133883919	0.433413063350793	1.95180202313065e-14	2.2112944760143e-12	TROAP	10024
ENSG00000129173	11	19245610	19263167	50.3803544841516	-3.30688270594809	0.460799323002496	7.1568181613947e-13	6.29842598310837e-11	E2F8	79733
ENSG00000149968	11	102706532	102714534	229.603680909243	-3.2219824082502	0.345321915336983	1.0549859091499e-20	3.08870627064975e-18	MMP3	4314
ENSG00000113368	5	126112315	126172712	498.072190193898	-3.17747795534876	0.405699278544216	4.7978168581536e-15	5.93604370274485e-13	LMNB1	4001
ENSG00000154839	18	47901365	47920543	116.395676696039	-3.17336066651431	0.407703024481794	7.05394396154941e-15	8.31016426067793e-13	SKA1	220134
ENSG00000038295	4	166794410	167025047	59.7554388818844	-3.17284862350524	0.438986851467234	4.91379506086913e-13	4.48459629475e-11	TLL1	7092
ENSG00000161888	19	11242196	11266484	136.650224894717	-3.15879643946786	0.336931241416875	6.90473376279882e-21	2.1268018475621e-18	SPC24	147841
ENSG00000121152	2	97001525	97039583	169.946992360938	-3.10037811602487	0.427437267913637	4.06404918729247e-13	3.75543545213245e-11	NCAPH	23397
ENSG00000152931	5	59783540	59843484	32.9964988643195	-3.07966828571488	0.463986582966699	3.19246959037753e-11	2.09315578242713e-09	PART1	25859
ENSG00000075218	22	46692638	46726707	249.285724032289	-3.06747960050019	0.40820611432467	5.71130687927115e-14	6.01008343131843e-12	GTSE1	51512
ENSG00000186185	17	43002077	43025082	189.823166882215	-3.06505452236787	0.455136255451045	1.64645267385271e-11	1.16752051716606e-09	KIF18B	146909
ENSG00000186193	9	139956581	139965040	77.163028942695	-3.05797234087727	0.392354184964424	6.4967962968279e-15	7.74638171359682e-13	SAPCD2	89958
ENSG00000142731	4	128802016	128820350	138.755106125608	-3.01763940668889	0.342553954028177	1.25999093641014e-18	2.86599476843445e-16	PLK4	10733
ENSG00000100092	22	38030661	38062939	48.9237552912203	-3.01484900276631	0.434060748883431	3.76629719538078e-12	2.97779165955641e-10	SH3BP1	23616
ENSG00000178999	17	8108056	8113918	127.308010031327	-3.01483412207215	0.483011145005026	4.32706121476795e-10	2.28077005562724e-08	AURKB	9212
ENSG00000061337	8	20103676	20161474	138.607375151121	-3.00819937326681	0.396082004884971	3.08053313148908e-14	3.3366800255726e-12	LZTS1	11178
ENSG00000085840	1	52838501	52870131	59.5885506331405	-2.99990942145861	0.40811869587796	1.97347542917415e-13	1.9070479882575e-11	ORC1	4998
ENSG00000117399	1	43824626	43828874	513.607214700205	-2.97354127908986	0.474966195148196	3.83665215085031e-10	2.05153352804057e-08	CDC20	991
